,Correlation_With_Lag_2,Correlation_With_Lag_3,Correlation_With_Lag_5,polyFit_4Degree_First_Coef,polyFit_4Degree_Sec_Coef,polyFit_4Degree_Third_Coef,polyFit_4Degree_Fourth_Coef,polyFit_4Degree_Five_Coef,polyFit_2Degree_First_Coef,polyFit_2Degree_Sec_Coef,polyFit_2Degree_Third_Coef,polyFit_3Degree_First_Coef,polyFit_3Degree_Sec_Coef,polyFit_3Degree_Third_Coef,polyFit_3Degree_Fourth_Coef,polyFit_1Degree_First_Coef,polyFit_1Degree_Sec_Coef,velocity_for_roll_3,velocity_for_roll_4,velocity_for_roll_5,velocity_for_roll_6,max_Velocity_Time,PSD_First_Peak,PSD_Sec_Peak,PSD_Third_Peak,PSD_Fourth_Peak,PSD_Fifth_Peak,PSD_Sixth_Peak,PSD_seventh_Peak,PSD_eight_Peak,Avg_Time_To_Reach_Peak_Where_Meal_Was_Detec,Correlation_With_Lag_4,Correlation_With_Lag_6,Correlation_With_Lag_8,windowed_mean_1,windowed_mean_2,windowed_mean_3,windowed_mean_4,windowed_mean_5,windowed_var_1,windowed_var_2,windowed_var_3,windowed_var_4,windowed_var_5
10,0.8891066318680289,0.8571495327953522,0.7694772956106213,1.1393889648146068e-15,2.799508209143498e-10,-0.00020635371148185796,-456.31477415394073,-4.282124090833066e-08,0.0020635384151210323,-1521.0495728839205,1.1989947454332584e-06,1.3997538166618588e-09,1.0793676739689505e-10,-760.5247051304141,2.783380659041493e-07,0.00023786675850843324,-5.591486566160065e-05,8.133333333333333,5.75,4.16,3.2333333333333334,15.0,27667600.0,1258690.6673736218,1258690.6673736218,52989.98080909753,52989.98080909753,41102.44544765586,41102.44544765586,40936.093429092834,737106.514,0.8129497834927094,0.7223294298900504,0.6039590508527382,100.6,122.1,178.4,221.2,225.1,1270.24,763.6899999999998,1632.84,88.95999999999998,14.489999999999998
11,0.9629099854734988,0.9388856774722651,0.8684079615522666,1.5856967106929318e-15,3.8960918665340077e-10,-0.0002871833336710883,-635.0542202818106,1.2311106761145064e-07,0.0028718344204158404,-2116.8476613074013,-3.4256992726664526e-07,1.9480456840705458e-09,9.217434436509047e-11,-1058.4237654631288,-5.138548908999679e-07,0.00020164441719454,-7.78169346086952e-05,5.4,4.1,3.48,3.3333333333333335,15.0,19882681.0,1885067.3227647042,1885067.3227647042,146219.119534239,146219.119534239,85946.51208114812,85946.51208114812,55529.890334077565,-0.052280092,0.906874579242865,0.8249109942595667,0.7394657863678717,71.8,84.2,121.1,187.9,230.3,580.1600000000002,64.75999999999999,1368.2900000000004,1618.09,148.01
12,0.8934855452316813,0.8748533383576785,0.8032993967923192,8.553779292833776e-16,2.1016743370032065e-10,-0.00015491501680811278,-342.56533095953495,1.1508208494113865e-07,0.0015491513240402347,-1141.8847231176617,9.420672999832745e-07,1.0508369096694232e-09,9.612919425443296e-11,-570.9422902682948,4.282124090833066e-07,0.00021213669470993867,-4.198021355823985e-05,7.333333333333333,5.55,4.6,3.9,15.0,22005481.0,639133.4875144756,639133.4875144756,49479.32981267969,49479.32981267969,40695.01123530978,40695.01123530978,26451.280364262664,737097.53,0.8455415707677917,0.7605680602320796,0.6974988422490002,101.2,122.1,153.1,187.2,196.1,1142.56,167.69,698.6899999999998,201.16000000000003,8.09
13,0.8793943946995979,0.8360803304586827,0.7422813473965427,8.507421355191496e-16,2.0902670568740447e-10,-0.00015407292915999238,-340.7004299213004,1.1240575738436797e-07,0.0015407304280046286,-1135.6683888938144,7.707823363499518e-07,1.045133281875746e-09,9.32200611532012e-11,-567.8341217980148,-3.960964784020586e-07,0.00020589773179546353,-4.1736847635086376e-05,7.0,5.1,3.96,3.2333333333333334,15.0,20729809.0,839084.4883824531,839084.4883824531,40355.23708940665,40355.23708940665,33080.77097381362,33080.77097381362,29871.276817120888,737058.537,0.7906081568128023,0.6870584033234393,0.5315093654712181,93.7,112.6,152.6,193.2,193.3,991.6099999999997,167.83999999999997,1029.8399999999997,148.56,197.41000000000003
14,0.7602261430542322,0.7141564494663779,0.6120472738431988,2.955129080900096e-16,7.260347987245341e-11,-5.351292096721196e-05,-118.3265352660711,-1.739612911900933e-08,0.0005351299620738998,-394.4219697758682,-2.5692744544998393e-07,3.630172301552616e-10,6.259638584804946e-11,-197.21093850309867,-1.6057965340623998e-07,0.00013829749322452083,-1.450019991118641e-05,5.333333333333333,4.05,3.28,2.7,15.0,9351364.0,62731.126799254525,62731.126799254525,39260.891757052574,39260.891757052574,15154.908768554742,15154.908768554742,13440.72439432482,737056.542,0.662958402297537,0.5987471891929667,0.22302630712165203,78.1,98.4,102.0,103.5,113.6,758.49,81.84,9.8,45.85,66.84
15,0.9803694421178278,0.9593794135872082,0.9056066163482814,6.975727839246316e-16,2.570753291385155e-10,5.4091209347541405e-11,-139.65669565714032,-205869791.87799507,0.0009473952135914726,6.605200494986632e-05,-514674574.1441157,7.71225910709946e-10,0.0001894790797120909,-139.65669536688355,-308804716.3606587,1396.5677348703073,-1029349238.3201184,2.2,2.15,2.08,1.9666666666666666,15.0,20866624.0,859139.3865130937,859139.3865130937,61007.935620499884,61007.935620499884,40386.57796323343,40386.57796323343,12469.725321010354,737055.556,0.9340974017797585,0.8722915215883295,0.7941194925547997,101.8,104.8,131.1,172.9,203.2,7.360000000000001,41.56,583.49,536.29,167.36000000000004
16,0.8503503294452021,0.8266349970679506,0.7610930915947687,8.764207222648687e-16,2.1532366144428083e-10,-0.00015870533909716905,-350.9240764882482,3.4524625482341594e-07,0.0015870546890807424,-1169.7472399443593,1.2846372272499198e-06,1.0766180139655324e-09,1.0886717340952772e-10,-584.8735410315189,3.532752374937279e-07,0.00023919505465839938,-4.3003778560090565e-05,9.133333333333333,6.75,5.36,4.366666666666666,15.0,27973521.0,666304.3475019239,666304.3475019239,58033.868993701704,58033.868993701704,39577.74401802538,39577.74401802538,39241.86901970673,737053.656,0.7978085502542464,0.7272080637548936,0.6510851539502377,120.2,137.4,169.6,206.6,217.5,1615.9599999999996,145.44,830.24,205.44,1.65
17,0.8009196368677887,0.7440468650642716,0.5935486741807058,-1.4709703374432283e-15,-3.613946272266186e-10,0.00026636736947106,588.981030112371,2.596037730067546e-07,-0.0026636725892234883,1963.2698277187187,1.0277097817999357e-06,-1.8069733813006488e-09,9.128229181804252e-11,981.6349815310862,-7.707823363499518e-07,0.00020224659422850129,7.217645768191588e-05,14.133333333333333,11.0,9.08,7.7,15.0,19998784.0,1755578.394065839,1755578.394065839,116299.99569898548,116299.99569898548,34788.6501480259,34788.6501480259,33167.19802266813,737052.566,0.6740366347236065,0.5068305157665127,0.3197815347508326,197.2,211.3,166.3,110.4,75.7,4446.160000000002,395.81,1021.61,960.04,153.41
18,0.9116762548095719,0.8767353351974921,0.804530868897019,9.523277665455085e-16,2.3397192705644536e-10,-0.00017244949470428264,-381.3131132694862,-1.3381637783853332e-07,0.001724495863256979,-1271.043934402848,8.564248181666132e-07,1.1698594266236562e-09,7.640855854606069e-11,-635.5219111626468,0.0,0.00016941358112363593,-4.672796620392116e-05,5.533333333333333,3.95,2.96,2.6,15.0,14032516.0,671671.4463661924,671671.4463661924,83269.09975218026,83269.09975218026,31719.453547934958,31719.453547934958,25127.050064281913,737048.538,0.8394658420691258,0.7677767012938088,0.6986183914278526,71.2,82.9,119.8,153.5,165.6,582.96,167.29000000000005,1051.16,83.45,104.44
19,0.8819418099508687,0.8237682436559636,0.6623320472590045,6.636350409492167e-16,1.6304380895791492e-10,-0.00012017106176315705,-265.71581942161725,2.435458076661306e-07,0.0012017117677028983,-885.7196975054871,5.994973727166292e-07,8.152188035974041e-10,9.351164912780446e-11,-442.8597740361831,-1.1775841249790931e-07,0.00020586617954524667,-3.256229834723346e-05,6.666666666666667,5.05,4.16,3.533333333333333,15.0,20720704.0,768819.9106962511,768819.9106962511,32121.167621644163,32121.167621644163,28428.9740116034,28428.9740116034,20550.52875740812,737047.531,0.7505362223654081,0.5726492718400612,0.3588290384514766,96.1,126.5,164.2,194.6,181.3,1088.89,375.45,764.9599999999998,71.64000000000001,488.21
